SCINAME,SCINAME,years_fall,years_spring,SVSPP,ITISSPP,COMNAME,AUTHOR,order,order_common,type,depth_profile
TRACHINOCEPHALUS.MYOPS,TRACHINOCEPHALUS MYOPS,31,24,439,162420,SNAKEFISH,Forster,perciformes,perch like,fish,demersal
TRACHURUS.LATHAMI,TRACHURUS LATHAMI,33,26,212,168587,ROUGH SCAD,"Nichols, 1920",perciformes,perch like,fish,pelagic
TRICHIURUS.LEPTURUS,TRICHIURUS LEPTURUS,32,22,126,172385,ATLANTIC CUTLASSFISH,"Linnaeus, 1758",perciformes,perch like,fish,pelagic
TRIGLOPS.MURRAYI,TRIGLOPS MURRAYI,32,30,161,167375,MOUSTACHE SCULPIN,"Guenther, 1888",scorpaeniformes,scorpionfishes and flatheads,fish,demersal
ULVARIA.SUBBIFURCATA,ULVARIA SUBBIFURCATA,18,28,184,171616,RADIATED SHANNY,"(Storer, 1839)",perciformes,perch like,fish,demersal
UROPHYCIS.,UROPHYCIS ,26,20,87,164729,CODLINGS,NA,,,unclassified,
UROPHYCIS.CHESTERI,UROPHYCIS CHESTERI,33,34,79,164733,LONGFIN HAKE,"(Goode and Bean, 1878)",gadiformes,cods and allies,fish,demersal
UROPHYCIS.CHUSS,UROPHYCIS CHUSS,34,34,77,164730,RED HAKE,"(Walbaum, 1792)",gadiformes,cods and allies,fish,demersal
UROPHYCIS.REGIA,UROPHYCIS REGIA,34,34,78,164731,SPOTTED HAKE,"(Walbaum, 1792)",gadiformes,cods and allies,fish,demersal
UROPHYCIS.TENUIS,UROPHYCIS TENUIS,34,34,76,164732,WHITE HAKE,"(Mitchill, 1814)",gadiformes,cods and allies,fish,demersal
ZENOPSIS.CONCHIFERA,ZENOPSIS CONCHIFERA,34,33,112,166284,BUCKLER DORY,"(Lowe, 1852)",zeiformes,dories ,fish,pelagic
